R E_HF E0 E1 E2 E3
0.400000 -0.904361 -0.914150 0.282934 0.611965 1.860705
0.500000 -1.042996 -1.055160 -0.070740 0.267000 1.301486
0.600000 -1.101128 -1.116286 -0.310960 0.036501 0.890085
0.700000 -1.117349 -1.136189 -0.478453 -0.120452 0.583314
0.800000 -1.110850 -1.134148 -0.597178 -0.227924 0.352285
0.900000 -1.091914 -1.120560 -0.682849 -0.301706 0.175881
1.000000 -1.066109 -1.101150 -0.745872 -0.352291 0.039048
1.100000 -1.036539 -1.079193 -0.792960 -0.386515 -0.068301
1.200000 -1.005107 -1.056741 -0.828443 -0.408860 -0.152714
1.300000 -0.973111 -1.035186 -0.855237 -0.422402 -0.218604
1.400000 -0.941481 -1.015468 -0.875428 -0.429384 -0.269221
1.500000 -0.910874 -0.998149 -0.890585 -0.431513 -0.307193
1.600000 -0.881732 -0.983473 -0.901912 -0.430109 -0.334757
1.700000 -0.854338 -0.971427 -0.910337 -0.426192 -0.353870
1.800000 -0.828848 -0.961817 -0.916575 -0.420541 -0.366240
1.900000 -0.805333 -0.954339 -0.921170 -0.413749 -0.373344
2.000000 -0.783793 -0.948641 -0.924537 -0.406260 -0.376432
2.100000 -0.764178 -0.944375 -0.926993 -0.398406 -0.376540
2.200000 -0.746401 -0.941224 -0.928774 -0.390426 -0.374501
2.300000 -0.730353 -0.938922 -0.930059 -0.382495 -0.370968
2.400000 -0.715910 -0.937255 -0.930981 -0.374732 -0.366441
2.500000 -0.702944 -0.936055 -0.931639 -0.367219 -0.361293
2.600000 -0.691328 -0.935196 -0.932106 -0.360006 -0.355800
2.700000 -0.680941 -0.934584 -0.932435 -0.353122 -0.350158
2.800000 -0.671669 -0.934151 -0.932666 -0.346580 -0.344507
2.900000 -0.663405 -0.933846 -0.932826 -0.340379 -0.338941
3.000000 -0.656048 -0.933632 -0.932936 -0.334513 -0.333524
